OWNER,TABLE_NAME,COLUMN_NAME,DATA_TYPE,DATA_TYPE_MOD,DATA_TYPE_OWNER,DATA_LENGTH,DATA_PRECISION,DATA_SCALE,NULLABLE,COLUMN_ID,DEFAULT_LENGTH,DATA_DEFAULT,NUM_DISTINCT,LOW_VALUE,HIGH_VALUE,DENSITY,NUM_NULLS,NUM_BUCKETS,LAST_ANALYZED,SAMPLE_SIZE,CHARACTER_SET_NAME,CHAR_COL_DECL_LENGTH,GLOBAL_STATS,USER_STATS,AVG_COL_LEN,CHAR_LENGTH,CHAR_USED,V80_FMT_IMAGE,DATA_UPGRADED,HISTOGRAM,DEFAULT_ON_NULL,IDENTITY_COLUMN,EVALUATION_EDITION,UNUSABLE_BEFORE,UNUSABLE_BEGINNING,COLLATION
MAJED,TRANSACTS_T2,BRA_ID,NUMBER,,,22,3.0,0.0,N,1,,,41,b'\xc1\x02',b'\xc2\x023',0.024390243902439,0,1,2025-12-27 23:23:51,3707670.0,,,YES,NO,4,0,,NO,YES,NONE,NO,NO,,,,
MAJED,TRANSACTS_T2,TRA_ID,NUMBER,,,22,,,N,2,,,7188,b'\xc2\x03&',b'\xc35S\\',0.000139120756816917,0,1,2025-12-27 23:23:51,3707670.0,,,YES,NO,5,0,,NO,YES,NONE,NO,NO,,,,
MAJED,TRANSACTS_T2,CYCLE_NO,NUMBER,,,22,,,N,3,,,3,b'\x80',b'\xc1\x03',0.333333333333333,0,1,2025-12-27 23:23:51,3707670.0,,,YES,NO,3,0,,NO,YES,NONE,NO,NO,,,,
MAJED,TRANSACTS_T2,TRA_TYPE_ID,NUMBER,,,22,,,N,4,,,8,b'\xc1\x03',"b'\xc1,'",1.34855583155998e-07,0,8,2025-12-27 23:23:51,3707670.0,,,YES,NO,3,0,,NO,YES,FREQUENCY,NO,NO,,,,
MAJED,TRANSACTS_T2,TRA_TYPE,NUMBER,,,22,,,N,5,,,8,b'\x80',b'\xc1\x0c',0.125,0,1,2025-12-27 23:23:51,3707670.0,,,YES,NO,3,0,,NO,YES,NONE,NO,NO,,,,
MAJED,TRANSACTS_T2,GRP_ID,NUMBER,,,22,,,N,6,,,5,b'\xc1\x02',b'\xc1\x07',0.2,0,1,2025-12-27 23:23:51,3707670.0,,,YES,NO,3,0,,NO,YES,NONE,NO,NO,,,,
MAJED,TRANSACTS_T2,CUS_NUM,NUMBER,,,22,7.0,0.0,Y,7,,,279,b'\x80',b'\xc3\x0393',0.003584229390681,0,1,2025-12-27 23:23:51,3707670.0,,,YES,NO,4,0,,NO,YES,NONE,NO,NO,,,,
MAJED,TRANSACTS_T2,CUR_CODE,NUMBER,,,22,2.0,0.0,N,8,,,6,b'\xc1\x02',b'\xc1\x0b',0.166666666666667,0,1,2025-12-27 23:23:51,3707670.0,,,YES,NO,3,0,,NO,YES,NONE,NO,NO,,,,
MAJED,TRANSACTS_T2,LED_CODE,VARCHAR2,,,31,,,N,9,,,39,b'111120010001',b'411130010001',0.0256410256410256,0,1,2025-12-27 23:23:51,3707670.0,CHAR_CS,31.0,YES,NO,14,31,B,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
MAJED,TRANSACTS_T2,CNTR_CODE,VARCHAR2,,,31,,,Y,10,,,1,b'0',b'0',1.0,3538560,1,2025-12-27 23:23:51,169110.0,CHAR_CS,31.0,YES,NO,2,31,B,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
