OWNER,TABLE_NAME,TABLESPACE_NAME,CLUSTER_NAME,IOT_NAME,STATUS,PCT_FREE,PCT_USED,INI_TRANS,MAX_TRANS,INITIAL_EXTENT,NEXT_EXTENT,MIN_EXTENTS,MAX_EXTENTS,PCT_INCREASE,FREELISTS,FREELIST_GROUPS,LOGGING,BACKED_UP,NUM_ROWS,BLOCKS,EMPTY_BLOCKS,AVG_SPACE,CHAIN_CNT,AVG_ROW_LEN,AVG_SPACE_FREELIST_BLOCKS,NUM_FREELIST_BLOCKS,DEGREE,INSTANCES,CACHE,TABLE_LOCK,SAMPLE_SIZE,LAST_ANALYZED,PARTITIONED,IOT_TYPE,TEMPORARY,SECONDARY,NESTED,BUFFER_POOL,FLASH_CACHE,CELL_FLASH_CACHE,ROW_MOVEMENT,GLOBAL_STATS,USER_STATS,DURATION,SKIP_CORRUPT,MONITORING,CLUSTER_OWNER,DEPENDENCIES,COMPRESSION,COMPRESS_FOR,DROPPED,READ_ONLY,SEGMENT_CREATED,RESULT_CACHE,CLUSTERING,ACTIVITY_TRACKING,DML_TIMESTAMP,HAS_IDENTITY,CONTAINER_DATA,INMEMORY,INMEMORY_PRIORITY,INMEMORY_DISTRIBUTE,INMEMORY_COMPRESSION,INMEMORY_DUPLICATE,DEFAULT_COLLATION,DUPLICATED,SHARDED,EXTERNALLY_SHARDED,EXTERNALLY_DUPLICATED,EXTERNAL,HYBRID,CELLMEMORY,CONTAINERS_DEFAULT,CONTAINER_MAP,EXTENDED_DATA_LINK,EXTENDED_DATA_LINK_MAP,INMEMORY_SERVICE,INMEMORY_SERVICE_NAME,CONTAINER_MAP_OBJECT,MEMOPTIMIZE_READ,MEMOPTIMIZE_WRITE,HAS_SENSITIVE_COLUMN,ADMIT_NULL,DATA_LINK_DML_ENABLED,LOGICAL_REPLICATION
SYS,DUAL,SYSTEM,,,VALID,10,40,1,255,16384.0,1048576.0,1.0,2147483645.0,,1,1,YES,N,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,         1,         1,    N,ENABLED,1.0,2021-08-18 00:00:22,NO,,N,N,NO,DEFAULT,DEFAULT,DEFAULT,DISABLED,YES,NO,,DISABLED,YES,,DISABLED,DISABLED,,NO,NO,YES,DEFAULT,NO,,,NO,NO,DISABLED,,,,,USING_NLS_COMP,N,N,N,N,NO,NO,,NO,NO,NO,NO,,,NO,DISABLED,DISABLED,NO,NO,NO,ENABLED
SYS,SYSTEM_PRIVILEGE_MAP,SYSTEM,,,VALID,10,40,1,255,65536.0,1048576.0,1.0,2147483645.0,,1,1,YES,N,261.0,2.0,0.0,0.0,0.0,27.0,0.0,0.0,         1,         1,    N,ENABLED,261.0,2025-12-23 22:00:23,NO,,N,N,NO,DEFAULT,DEFAULT,DEFAULT,DISABLED,YES,NO,,DISABLED,YES,,DISABLED,DISABLED,,NO,NO,YES,DEFAULT,NO,,,NO,NO,DISABLED,,,,,USING_NLS_COMP,N,N,N,N,NO,NO,,NO,NO,NO,NO,,,NO,DISABLED,DISABLED,NO,NO,NO,ENABLED
SYS,TABLE_PRIVILEGE_MAP,SYSTEM,,,VALID,10,40,1,255,65536.0,1048576.0,1.0,2147483645.0,,1,1,YES,N,26.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,         1,         1,    N,ENABLED,26.0,2021-08-18 00:01:03,NO,,N,N,NO,DEFAULT,DEFAULT,DEFAULT,DISABLED,YES,NO,,DISABLED,YES,,DISABLED,DISABLED,,NO,NO,YES,DEFAULT,NO,,,NO,NO,DISABLED,,,,,USING_NLS_COMP,N,N,N,N,NO,NO,,NO,NO,NO,NO,,,NO,DISABLED,DISABLED,NO,NO,NO,ENABLED
SYS,USER_PRIVILEGE_MAP,SYSTEM,,,VALID,10,40,1,255,65536.0,1048576.0,1.0,2147483645.0,,1,1,YES,N,4.0,1.0,0.0,0.0,0.0,21.0,0.0,0.0,         1,         1,    N,ENABLED,4.0,2021-08-18 00:01:06,NO,,N,N,NO,DEFAULT,DEFAULT,DEFAULT,DISABLED,YES,NO,,DISABLED,YES,,DISABLED,DISABLED,,NO,NO,YES,DEFAULT,NO,,,NO,NO,DISABLED,,,,,USING_NLS_COMP,N,N,N,N,NO,NO,,NO,NO,NO,NO,,,NO,DISABLED,DISABLED,NO,NO,NO,ENABLED
SYS,STMT_AUDIT_OPTION_MAP,SYSTEM,,,VALID,10,40,1,255,65536.0,1048576.0,1.0,2147483645.0,,1,1,YES,N,341.0,2.0,0.0,0.0,0.0,25.0,0.0,0.0,         1,         1,    N,ENABLED,341.0,2021-08-18 00:00:58,NO,,N,N,NO,DEFAULT,DEFAULT,DEFAULT,DISABLED,YES,NO,,DISABLED,YES,,DISABLED,DISABLED,,NO,NO,YES,DEFAULT,NO,,,NO,NO,DISABLED,,,,,USING_NLS_COMP,N,N,N,N,NO,NO,,NO,NO,NO,NO,,,NO,DISABLED,DISABLED,NO,NO,NO,ENABLED
SYS,FINALHIST$,,,,VALID,10,40,1,255,,,,,,1,1,NO,N,,,,,,,,,         1,         1,    N,ENABLED,,,NO,,Y,N,NO,DEFAULT,DEFAULT,DEFAULT,DISABLED,NO,NO,SYS$TRANSACTION,DISABLED,NO,,DISABLED,DISABLED,,NO,NO,YES,DEFAULT,NO,,,NO,NO,DISABLED,,,,,USING_NLS_COMP,N,N,N,N,NO,NO,,NO,NO,NO,NO,,,NO,DISABLED,DISABLED,NO,NO,NO,ENABLED
SYS,MODELGTTRAW$,,,,VALID,10,40,1,255,,,,,,1,1,NO,N,,,,,,,,,         1,         1,    N,ENABLED,,,NO,,Y,N,NO,DEFAULT,DEFAULT,DEFAULT,DISABLED,NO,NO,SYS$SESSION,DISABLED,NO,,DISABLED,DISABLED,,NO,NO,YES,DEFAULT,NO,,,NO,NO,DISABLED,,,,,USING_NLS_COMP,N,N,N,N,NO,NO,,NO,NO,NO,NO,,,NO,DISABLED,DISABLED,NO,NO,NO,ENABLED
SYS,AV_DUAL,SYSTEM,,,VALID,10,40,1,255,65536.0,1048576.0,1.0,2147483645.0,,1,1,YES,N,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,         1,         1,    N,ENABLED,1.0,2021-08-18 00:00:12,NO,,N,N,NO,DEFAULT,DEFAULT,DEFAULT,DISABLED,YES,NO,,DISABLED,YES,,DISABLED,DISABLED,,NO,NO,YES,DEFAULT,NO,,,NO,NO,DISABLED,,,,,USING_NLS_COMP,N,N,N,N,NO,NO,,NO,NO,NO,NO,,,NO,DISABLED,DISABLED,NO,NO,NO,ENABLED
SYS,AUDIT_ACTIONS,SYSTEM,,,VALID,10,40,1,255,65536.0,1048576.0,1.0,2147483645.0,,1,1,YES,N,241.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,         1,         1,    N,ENABLED,241.0,2021-08-18 00:00:12,NO,,N,N,NO,DEFAULT,DEFAULT,DEFAULT,DISABLED,YES,NO,,DISABLED,YES,,DISABLED,DISABLED,,NO,NO,YES,DEFAULT,NO,,,NO,NO,DISABLED,,,,,USING_NLS_COMP,N,N,N,N,NO,NO,,NO,NO,NO,NO,,,NO,DISABLED,DISABLED,NO,NO,NO,ENABLED
SYS,ALL_UNIFIED_AUDIT_ACTIONS,SYSTEM,,,VALID,10,40,1,255,65536.0,1048576.0,1.0,2147483645.0,,1,1,YES,N,482.0,3.0,0.0,0.0,0.0,33.0,0.0,0.0,         1,         1,    N,ENABLED,482.0,2021-08-18 00:00:00,NO,,N,N,NO,DEFAULT,DEFAULT,DEFAULT,DISABLED,YES,NO,,DISABLED,YES,,DISABLED,DISABLED,,NO,NO,YES,DEFAULT,NO,,,NO,NO,DISABLED,,,,,USING_NLS_COMP,N,N,N,N,NO,NO,,NO,NO,NO,NO,,,NO,DISABLED,DISABLED,NO,NO,NO,ENABLED
